fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
50027,0,0,1,1,0,0,0,0,0,0,0,1,3,4,2,0,1,0,0,2,9,7,2,11,3,0
50999,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
51001,0,0,0,4,8,2,1,4,0,0,2,6,4,4,4,2,1,3,1,7,16,8,3,3,7,10
51003,0,0,0,4,4,0,3,7,3,3,3,4,4,25,18,6,0,1,0,0,7,12,9,7,7,6
51005,0,0,0,0,2,0,1,1,0,0,3,16,9,12,3,0,0,1,0,2,9,16,6,4,3,5
51007,0,0,0,1,0,0,0,2,2,1,0,1,3,10,9,3,2,3,0,0,2,2,2,2,3,4
51009,0,0,0,1,0,0,0,1,3,2,0,4,1,12,13,2,2,3,0,1,11,6,4,2,6,7
51011,0,0,0,0,0,0,0,1,2,3,0,1,1,9,6,1,1,0,0,2,5,3,0,2,5,5
51013,0,0,2,39,75,20,5,4,12,5,4,24,22,26,20,6,4,2,0,2,4,7,4,8,9,11
51015,0,0,0,1,0,1,2,0,3,2,2,18,20,8,13,2,3,5,3,8,22,19,16,3,16,18
51017,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,3,0,1,0,0,2
51019,0,0,0,0,2,1,3,2,5,5,1,12,8,29,30,3,7,4,1,4,13,22,14,12,8,14
51021,0,0,0,0,0,0,0,0,4,0,0,1,3,0,1,0,0,0,0,0,3,4,0,1,1,1
51023,0,0,0,3,1,0,1,3,2,2,1,4,4,6,8,2,2,0,0,2,1,7,11,9,8,7
51025,0,0,0,0,1,0,0,1,3,0,2,1,2,7,4,1,2,2,0,2,3,3,3,0,1,1
51027,0,0,0,0,0,0,0,1,1,2,2,18,7,2,4,2,5,2,1,1,2,11,19,8,4,1
51029,0,0,0,0,3,1,1,2,1,0,1,2,5,10,2,2,0,2,0,2,3,2,2,1,0,4
51031,0,0,0,0,1,0,1,1,1,5,3,8,12,24,26,4,5,12,3,12,11,12,9,10,12,10
51033,0,0,0,1,1,2,0,1,0,1,0,3,4,9,10,3,3,2,0,3,3,5,4,1,5,5
51035,0,0,0,0,1,7,6,6,5,5,1,6,20,4,8,5,7,4,1,2,4,8,12,8,6,10
51036,0,0,0,1,0,4,0,2,0,0,2,1,1,2,4,0,0,0,0,0,3,1,1,1,1,1
51037,0,0,0,0,0,0,0,0,0,1,4,1,4,5,4,1,3,0,0,1,2,3,1,2,2,3
51041,0,0,0,20,16,15,22,15,14,25,11,42,32,97,98,25,20,11,6,10,38,45,24,35,17,50
51043,0,0,0,0,0,0,0,0,1,0,2,2,3,9,2,1,0,1,0,0,1,4,3,3,4,1
51045,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,1,3,1,1,0
51047,0,0,0,3,4,4,2,1,4,1,3,1,15,16,7,5,4,1,2,1,6,11,6,3,9,16
51049,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,1,0,0,0,3,5,1,0,0,2
51051,0,0,0,0,0,0,0,1,0,0,0,4,8,0,1,0,2,1,1,0,3,5,3,8,2,0
51053,0,0,0,0,0,0,4,3,3,1,2,1,3,8,18,0,3,1,0,0,4,3,7,3,2,7
51057,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,1,0,1,0,4,4,1,1,2,1
51059,0,0,2,132,249,109,35,42,30,19,29,56,106,146,123,34,28,12,10,12,17,31,12,34,20,65
51061,0,0,0,2,4,0,2,1,16,2,2,0,6,19,13,1,8,0,1,2,9,5,2,7,15,12
51063,0,0,0,0,0,0,0,1,7,7,0,2,1,0,2,1,2,0,0,0,2,5,3,1,0,3
51065,0,0,0,6,0,1,1,1,0,0,0,1,3,1,3,0,3,0,1,1,0,2,5,4,1,3
51067,0,0,0,0,2,0,0,0,3,2,12,5,12,18,20,1,5,5,2,1,9,11,8,17,11,16
51069,0,0,0,1,3,2,1,3,3,1,5,10,17,23,28,7,3,0,2,2,19,26,15,21,10,21
51071,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5,3,1,0,2,0,1,6,2,5,1,3
51073,0,0,0,1,0,0,1,0,0,1,0,4,20,10,9,2,2,0,3,1,7,15,5,3,3,9
51075,0,0,0,4,2,0,1,0,0,0,0,0,2,4,9,2,0,0,1,1,3,2,1,4,2,3
