fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
1103,0,0,20,52,212,686,1194,750,439,1076,2387,3766,2374,658,472,114,291,146,481,2338,2532,1844,584,1372,9929,1290
1105,0,0,0,9,31,96,305,79,28,62,86,177,163,67,26,8,7,9,16,142,122,44,13,39,437,51
1107,0,0,4,45,68,90,156,203,110,244,327,477,363,151,82,17,23,16,80,338,294,165,90,128,1390,128
1109,0,0,4,63,137,201,249,311,257,159,220,424,723,188,117,50,43,18,170,669,662,371,120,313,1624,238
1111,0,0,2,62,66,44,224,126,153,187,190,196,273,118,116,43,55,37,121,508,633,170,46,268,1221,153
1113,0,0,1,57,114,303,712,441,164,217,236,559,958,285,182,138,131,56,229,727,614,851,116,379,2017,218
1115,0,0,15,58,51,179,924,612,505,827,1119,2142,1692,629,536,211,473,159,449,2494,2354,1084,285,987,6019,664
1117,0,0,88,221,197,554,1984,1495,1529,1552,2900,4858,4548,1685,1067,314,2084,324,1467,4929,4259,1276,468,2877,15110,1562
1119,0,0,1,64,160,45,90,42,35,53,99,264,85,54,42,18,17,6,41,79,68,92,52,82,798,66
1121,0,0,7,54,54,152,718,784,426,607,796,1544,1543,680,470,184,206,117,453,1778,2478,803,185,795,5837,710
1123,0,0,13,274,142,140,278,204,118,225,445,525,964,299,266,146,92,80,338,1066,1201,381,152,477,3085,313
1125,0,0,29,183,575,1203,1887,2004,2062,1705,2430,5222,3881,1689,886,544,428,198,916,3033,4088,1061,678,1625,14013,1411
1127,0,0,32,68,259,501,611,448,455,563,761,1549,850,351,541,148,74,87,404,1383,1565,720,624,568,4760,669
1129,0,0,4,31,36,31,199,214,41,209,157,262,290,100,77,32,21,22,137,447,170,66,45,49,831,159
1131,0,0,3,61,82,133,130,104,21,41,69,241,254,81,39,26,14,5,51,123,170,100,61,78,830,110
1133,0,0,2,13,70,141,199,147,174,213,387,620,409,93,253,22,53,56,146,594,742,363,110,166,1970,391
2013,0,0,0,0,0,2,1,1,8,3,23,6,48,275,2,1,3,0,7,26,22,13,17,3,405,140
2016,0,0,0,0,0,4,86,4,4,5,9,89,130,228,95,41,14,26,56,26,91,29,15,8,623,83
2020,0,0,65,115,53,253,1294,1372,1441,3658,8432,6039,2516,1086,1768,1774,592,434,1830,4961,9818,8960,4383,2410,29126,4439
2050,0,0,0,1,2,8,10,44,57,342,1101,851,936,219,208,109,27,20,104,379,727,861,786,171,1141,547
2068,0,0,0,0,0,1,3,0,7,20,13,16,8,5,15,14,8,4,5,44,71,34,23,6,53,18
2070,0,0,0,0,1,17,5,5,4,30,42,22,49,34,5,21,1,4,10,117,243,287,60,46,267,182
2090,0,0,35,46,4,70,279,251,506,1058,1218,1433,928,345,395,999,371,73,180,871,3784,2683,1484,550,6810,1676
2100,0,0,0,0,0,5,3,2,1,4,3,5,4,1,2,2,0,0,0,104,78,15,8,19,143,55
2110,0,0,9,18,6,15,93,115,120,193,275,186,109,82,49,87,64,55,192,627,906,670,257,327,2591,408
2122,0,0,8,10,30,111,278,131,59,453,1498,974,272,85,131,314,107,43,500,1717,2055,2138,845,370,2907,961
2130,0,0,13,3,0,13,19,15,8,17,109,43,40,74,27,49,213,19,48,394,352,263,342,293,966,291
2150,0,0,0,1,0,6,8,43,11,52,163,629,120,21,24,30,18,5,81,374,480,500,117,88,1566,259
2158,0,0,0,0,0,0,4,4,7,225,186,343,357,74,22,57,34,93,81,114,203,272,162,210,772,262
2170,0,0,3,18,8,55,196,202,151,786,2102,2809,1107,1076,1376,1407,347,129,312,1520,4355,3956,2245,908,5938,1640
2180,0,0,0,1,2,6,11,25,32,61,92,46,35,15,12,15,16,39,28,452,173,420,716,187,1515,670
2185,0,0,0,0,1,3,11,29,96,131,193,339,179,25,43,24,15,6,17,228,979,360,216,36,735,392
2188,0,0,0,0,2,2,24,39,54,137,102,43,170,16,11,18,6,6,11,209,397,556,461,144,969,315
2195,0,0,0,3,0,1,5,2,0,8,4,7,16,36,68,14,6,1,15,22,43,48,213,29,78,27
2198,0,0,0,2,0,3,5,21,6,5,16,22,3,2,7,19,46,33,29,121,134,42,88,52,427,117
2220,0,0,0,1,1,16,13,22,17,13,114,71,32,10,18,15,19,9,385,226,120,82,39,113,615,155
2230,0,0,0,0,0,0,0,0,0,8,3,6,0,4,0,1,0,1,5,22,21,9,9,4,15,13
2240,0,0,0,1,2,8,16,6,9,45,198,124,31,15,162,61,56,45,28,54,195,214,119,31,331,162
2261,0,0,0,0,2,19,67,33,5,44,85,87,102,40,74,82,37,14,202,185,307,320,191,51,491,134
2275,0,0,0,0,0,8,0,10,2,0,1,7,2,1,4,21,3,9,7,48,15,17,68,4,195,16
2290,0,0,0,1,0,2,42,28,10,37,51,40,59,65,15,10,8,2,9,50,148,137,88,24,291,143
2997,0,0,0,0,1,45,39,9,19,19,31,15,15,12,8,11,2,5,4,46,117,125,46,22,179,33
2998,0,0,0,0,0,0,7,14,9,8,12,3,13,2,5,2,14,1,5,17,53,95,25,16,134,27
2999,0,0,0,2,1,36,74,31,17,36,98,88,196,32,193,39,14,12,39,70,117,47,17,7,683,51
4001,0,0,17,435,1075,813,658,356,230,456,1389,2046,2169,854,503,348,108,105,275,642,683,1177,951,943,4238,786
4003,0,0,4,36,34,571,849,322,99,302,1532,3732,2972,768,404,311,173,131,162,744,1177,1647,2123,2017,7751,1845
4005,0,0,81,409,665,735,1071,341,869,1209,2145,3606,4102,1311,541,617,163,205,521,1261,1427,1920,1994,2674,12599,1413
4007,0,0,1,13,18,261,533,300,243,626,1020,1514,1459,376,140,336,95,127,259,829,812,751,1279,1111,3408,924
4009,0,0,4,16,19,69,362,263,138,395,969,988,1890,168,84,187,78,18,87,571,723,719,803,471,2141,568
4011,0,0,1,1,4,13,43,4,3,48,126,172,124,36,5,10,5,4,33,111,241,166,241,115,581,94
4012,0,0,2,13,67,265,127,32,50,83,241,597,789,151,81,21,21,21,83,102,338,189,188,256,1142,212
4013,1,0,790,3181,5774,37062,64653,16171,8250,15960,46893,116791,146599,36546,13522,11400,13494,9267,19223,57849,52886,42852,58795,70300,312963,39988
4015,0,0,7,110,279,675,1894,650,372,437,1643,6374,6822,1788,925,537,424,663,1668,2812,2907,2073,2385,3118,13813,2312
4017,0,0,91,621,1154,1759,1516,400,210,750,1537,3133,3186,1148,329,467,262,268,549,1295,1166,1917,2844,2460,8089,1399
4019,0,0,202,1039,1035,5346,7984,4936,3878,2970,10699,29663,31935,8031,3189,2224,1661,885,2412,6916,7918,8775,14004,13417,60990,9642
4021,0,0,64,335,466,2667,4326,1538,1058,1408,4422,10761,14199,3827,3326,1679,1507,1146,2304,6676,5524,4590,6491,8556,30248,5091
4023,0,0,2,31,298,1330,787,164,95,199,930,2028,1402,211,187,103,122,50,123,276,310,280,763,618,5223,653
4025,0,0,25,60,217,497,933,528,250,455,2604,5669,5089,1140,931,368,565,291,1087,2722,2503,2315,3941,3903,8447,1616
4027,0,0,12,69,1027,5120,4671,1305,496,1201,3941,9498,7282,1191,352,316,162,75,352,1722,1335,902,1071,1569,13494,1840
4999,0,0,0,0,0,0,0,0,5,0,2,0,19,0,1,3,5,1,0,5,1,2,0,1,5,2
5001,0,0,2,1,5,22,163,90,143,274,251,354,460,206,83,19,32,94,313,523,291,110,50,136,1725,153
5003,0,0,1,14,5,52,160,159,48,123,297,413,367,139,75,91,44,26,124,504,407,82,44,165,1342,203
5005,0,0,3,3,7,8,42,78,228,383,667,649,570,240,168,87,50,243,1080,870,283,183,276,545,1482,176
5007,0,0,38,67,483,2145,1735,906,1335,1673,3491,5667,7347,1975,908,617,625,499,2763,4985,3091,1591,1592,2701,15563,1769
5009,0,0,2,4,2,20,131,199,387,336,705,778,763,302,104,60,69,188,739,817,406,228,217,513,1913,241
5011,0,0,4,11,12,30,87,157,47,31,125,436,310,72,35,27,30,49,143,172,146,41,57,67,760,84
5013,0,0,0,0,0,0,13,13,13,21,94,84,112,48,11,2,2,12,46,65,48,14,11,32,205,42
5015,0,0,0,5,20,145,163,138,241,329,394,640,507,140,37,52,14,73,369,611,329,105,108,193,1143,144
5017,0,0,2,7,6,119,372,459,45,48,136,216,143,38,26,3,9,9,37,175,149,34,14,56,568,51
5019,0,0,24,8,9,19,101,81,128,152,318,533,466,199,45,20,22,92,216,363,313,141,111,312,1191,129
5021,0,0,0,3,2,50,51,80,132,188,380,427,248,129,30,28,41,16,122,326,346,94,102,161,840,178
5023,0,0,61,13,1,15,93,81,82,137,259,502,525,114,60,28,41,61,412,655,390,208,222,318,1698,246
5025,0,0,5,7,8,6,39,73,50,68,108,209,225,126,18,13,10,38,120,163,73,78,12,82,636,51
5027,0,0,2,12,12,63,101,111,205,245,355,467,338,222,62,18,26,46,183,407,296,97,31,198,1298,189
5029,0,0,2,11,1,41,79,72,67,86,324,624,677,162,45,26,33,19,159,364,284,89,94,257,1600,171
5031,0,0,10,64,146,231,637,733,1162,1745,2351,2905,2064,612,250,275,244,220,1441,3210,2325,768,643,3272,9154,875
5033,0,0,3,1,26,130,355,407,544,640,933,1370,1745,560,195,78,72,121,456,1276,1321,449,270,485,3506,362
5035,0,0,29,158,194,366,426,471,327,543,758,1048,1041,315,115,152,125,39,255,1126,949,289,192,955,3313,247
5037,0,0,2,15,35,33,72,122,174,159,248,530,425,81,30,25,23,25,183,357,300,157,55,132,1287,133
5039,0,0,0,1,0,9,47,72,41,17,121,180,187,68,20,3,4,27,143,125,67,19,6,46,439,54
5041,0,0,2,14,4,28,95,101,57,124,140,389,253,126,29,6,6,11,103,199,149,78,43,93,778,73
5043,0,0,2,14,5,45,90,151,55,81,303,705,416,89,38,11,21,57,182,276,247,109,61,124,1287,140
5045,0,0,36,41,26,375,698,518,873,934,1304,2786,3006,1076,428,233,374,316,1814,2584,1334,594,725,1950,10711,1049
5047,0,0,0,3,2,17,83,62,128,258,230,289,404,128,49,14,15,18,113,481,313,75,82,97,718,73
5049,0,0,0,1,6,7,15,43,107,166,206,335,140,50,24,21,27,31,160,176,138,60,175,162,515,56
5051,0,0,31,85,21,112,566,614,521,671,1198,1910,2588,1286,304,85,203,238,1414,2403,1128,386,187,582,4252,1033
5053,0,0,3,11,4,22,84,68,82,107,230,462,315,177,55,9,50,93,303,516,217,53,35,151,1041,145
5055,0,0,4,12,48,50,179,341,275,719,1325,1478,1067,311,110,84,79,97,571,1620,1181,430,337,766,3791,397
5057,0,0,1,6,14,34,150,130,52,202,282,354,412,292,55,17,15,65,134,364,264,117,67,213,998,154
5059,0,0,5,15,13,396,1010,269,205,324,673,688,763,448,150,80,110,182,609,953,436,284,132,325,2239,330
5061,0,0,4,10,8,69,202,130,60,133,197,292,246,184,62,12,12,20,108,318,220,105,108,163,882,68
5063,0,0,4,5,23,25,278,434,383,345,595,663,703,205,54,39,43,173,527,804,692,381,499,482,2439,535
5065,0,0,0,5,11,4,24,63,151,368,377,300,259,97,29,18,9,26,244,248,171,157,172,240,738,109
5067,0,0,0,1,2,25,32,127,176,540,908,1014,245,108,34,13,11,34,130,326,306,287,243,201,896,184
5069,0,0,40,130,352,179,593,811,1289,835,918,1511,1343,550,134,116,108,280,1031,1376,541,131,127,562,4809,360
5071,0,0,3,30,12,185,385,153,94,188,220,549,683,236,124,28,33,39,255,641,563,193,58,207,1381,176
5073,0,0,0,8,2,9,30,20,50,75,74,77,103,89,7,5,8,7,39,134,80,36,13,37,307,25
5075,0,0,3,58,26,15,82,66,212,412,298,403,333,142,22,36,25,34,139,399,436,169,175,229,1024,207
5077,0,0,0,3,17,634,229,121,62,48,82,239,167,45,17,13,32,10,66,157,106,107,50,102,476,31
5079,0,0,6,809,168,56,127,439,421,310,132,356,231,103,26,22,7,51,90,201,69,39,43,210,810,113
5081,0,0,0,0,6,32,111,132,81,114,166,176,215,100,52,14,19,20,85,313,274,114,66,79,846,87
5083,0,0,0,3,4,41,93,229,56,190,350,459,555,201,42,22,22,44,184,560,385,184,94,135,830,147
5085,0,0,6,41,10,94,267,321,504,615,870,1337,1830,820,247,213,211,248,988,1735,970,355,355,983,5352,520
5087,0,0,0,1,22,169,65,43,69,77,187,396,315,63,35,14,16,29,200,431,288,70,152,265,765,118
5089,0,0,0,1,1,4,17,23,57,74,266,187,238,76,71,20,16,67,388,380,173,62,149,289,551,97
5091,0,0,1,33,10,70,337,157,255,726,575,591,629,432,185,68,125,58,243,723,753,307,166,270,1828,198
