FIPS,POPN,DATE_RANGE_START,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
1065,14670,1/1/2020,60788,56603,46197,30379,37607,39217,39723,52454,50787,51038,42154,40178,45016,48365,59790,62911,55147,46794,47489,58244,59572,63428
1067,17223,1/1/2020,532786,500344,405784,250934,388957,436811,437191,436274,430373,468560,432056,498941,439952,426329,536001,522728,538284,505287,519214,496250,506326,535628
1069,106580,1/1/2020,988122,923755,775287,509452,736183,822580,817570,815736,810887,885147,796932,897181,833397,811234,1017060,996155,1022869,966425,977139,939528,956873,1002002
1071,51582,1/1/2020,221078,203968,186927,132478,186286,198326,199720,203426,209858,221524,193231,199465,208141,198520,256776,257545,272156,235285,240436,255675,257074,274608
1073,655342,1/1/2020,5927880,5668590,4387556,2581581,3781256,4298435,4362520,4581326,4460148,4849255,4466945,4862398,4597492,4455544,5481705,5627602,5653090,5126753,5283487,5337095,5264699,5652912
1075,13764,1/1/2020,202966,193668,175111,120515,154478,168606,173860,187248,187579,204679,170758,171301,181500,179675,235902,251990,243392,214745,215000,231543,234459,250057
1077,93368,1/1/2020,679229,647164,521749,317787,502009,550625,544180,594176,586979,640603,564571,605904,587212,501737,705471,730100,724158,650222,653845,709517,688633,738270
1079,32857,1/1/2020,276421,262682,240094,162847,225973,238885,242532,259894,260357,271746,248508,254380,255183,236392,308595,312638,316950,287568,288342,293373,298622,320073
1081,166831,1/1/2020,1526220,1463326,964748,567999,829966,906813,951028,1247081,1163036,1260220,1103643,1044202,1205566,1216783,1439027,1456457,1250225,1206951,1199230,1631567,1684300,1719680
1083,102228,1/1/2020,512130,473574,407603,267235,363267,395900,398954,437514,444201,473023,412816,413626,420256,393127,531631,546698,560621,487429,489979,540634,543862,562611
1085,9641,1/1/2020,122757,111415,103191,69395,91842,99130,103944,102499,100476,106441,92715,97319,95491,94979,128270,132534,130213,127313,132924,127607,126416,137302
1087,17895,1/1/2020,690271,655273,444327,271442,390386,439107,463602,624189,567021,610639,522725,479921,573487,580383,690078,713231,616648,583764,576556,766090,740105,772846
1089,379453,1/1/2020,2463580,2224126,1774651,1032953,1541718,1761996,1772629,1872307,1848927,1979181,1814162,1936428,1836575,1686674,2155452,2208611,2282687,2098941,2113298,2238926,2168824,2300546
1091,18733,1/1/2020,161469,153075,141976,100933,123664,133379,135179,143772,142949,147803,135613,141935,138601,139942,180222,186612,188019,167129,166666,173379,178612,195225
1093,29703,1/1/2020,234861,224524,204536,137387,181863,193851,198221,214107,221247,236123,203780,212656,214625,208076,271946,289740,283514,245249,243404,269605,271182,293184
1095,96990,1/1/2020,646502,620516,549812,377804,525964,566970,578441,586240,587199,617483,541348,552946,566106,567052,732501,762455,776710,685058,691062,709036,714959,743695
1097,412716,1/1/2020,2315043,2201560,1765987,1083330,1541396,1697823,1718320,1822460,1674261,1904073,1721247,1848986,1756981,1740462,2253282,2112878,2204123,2050944,2096044,2120623,2174194,2304215
1099,20459,1/1/2020,219753,204274,176652,111555,151427,183912,184140,185365,181070,196440,173827,180992,179540,178433,239999,242453,241997,241301,247536,235860,240334,261485
1101,224639,1/1/2020,1528976,1439845,1173429,706912,981113,1084605,1146128,1238876,1169970,1283078,1172517,1240141,1180855,1163531,1443991,1463884,1466113,1389290,1447611,1477626,1422007,1520342
1103,119883,1/1/2020,821004,770067,683122,458738,647061,709258,704239,736777,722368,765659,702605,739701,717970,670520,883271,892606,931684,849297,859675,863639,841890,892967
1105,8687,1/1/2020,135226,123988,110572,75853,90807,95629,97629,108880,111191,112660,96145,97092,104554,106730,131640,135842,130188,117044,117579,134922,134200,144555
1107,19793,1/1/2020,117509,110643,95983,64813,80010,87771,92733,103140,103183,110456,89868,93113,96869,98945,127174,134516,128305,112364,113212,121837,122026,134109
1109,32966,1/1/2020,270503,246410,175800,119039,156685,176824,190668,249827,219407,248628,199567,176880,226682,220719,264210,280480,244357,242537,230827,292912,289020,293032
1111,22920,1/1/2020,137846,125497,114972,83316,107096,108399,113367,121113,118557,126050,115700,119090,123153,122901,158187,159145,165175,138911,144640,158709,158717,168013
1113,58237,1/1/2020,449836,421668,376257,253154,341435,353818,360525,363934,363824,404253,362713,378179,361444,371177,457989,470478,467696,426203,442050,452629,463926,501062
1115,90739,1/1/2020,1095995,1037808,893089,606577,857974,922753,954661,997043,980972,1050820,955074,1044041,971864,968157,1202528,1244663,1254399,1098583,1134695,1157999,1137089,1225619
1117,221428,1/1/2020,2859686,2703362,2081950,1210058,1890511,2227833,2286492,2375920,2302065,2531672,2357356,2572922,2346588,2296667,2839989,2960498,2996903,2683064,2753142,2743583,2617727,2867941
1119,12225,1/1/2020,60314,57058,44815,25266,28929,32813,34783,49172,46761,47408,38057,32773,43789,42123,50962,53362,45889,41893,42937,55797,57172,60859
1121,79985,1/1/2020,656283,636962,547047,373305,543502,582420,598152,605340,575333,621710,590365,650499,596444,585831,759064,768861,771680,686681,714062,725006,704136,795103
1123,40133,1/1/2020,534386,515994,303537,181884,239825,256779,273755,378974,372429,396830,319446,270780,364702,388331,457955,461063,374721,362485,346209,562682,632264,622537
1125,210758,1/1/2020,1671451,1555945,1196812,718142,988912,1087178,1103999,1446273,1336425,1467868,1250641,1198328,1351982,1335124,1612938,1696729,1477426,1333832,1340844,1787308,1726249,1797765
1127,63143,1/1/2020,428306,404538,358444,260839,350402,357712,370204,382965,370353,409307,366941,377494,374795,367942,477006,494291,500809,446243,463014,475140,473906,497750
1129,15976,1/1/2020,62215,62135,52934,34868,43882,46516,48812,50553,53812,59190,51087,52126,56488,59020,78179,70174,76271,60313,60803,69737,73651,79773
1131,10206,1/1/2020,66736,63463,58453,39656,50524,52875,54886,59623,58728,60742,56978,60444,57938,57912,73653,75588,77243,71656,71097,71863,75735,80308
1133,23508,1/1/2020,154030,145193,132495,94138,120587,124627,133717,144647,145471,150354,127533,128911,132299,130608,170288,181896,185316,158457,155789,176890,178421,189592
2013,3401,1/1/2020,185,273,184,157,230,259,218,268,277,270,196,255,117,133,198,145,150,276,257,209,120,172
2016,5680,1/1/2020,1782,1474,1307,1152,1321,1495,1559,1244,1377,1309,797,814,980,959,905,868,722,928,1134,1340,1054,1205
2020,287095,1/1/2020,880982,740853,587395,361525,474002,560371,583067,557618,521970,528487,459830,492357,490725,454073,557192,564589,623685,647599,661166,657527,606464,611750
