FIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
01001,-1.64E-10,-0.000110081,-0.000128537,-0.002277623,-4.32E-08,0.000596781,0.000447108,7.54E-05,0.00015504,9.28E-05,0.000125766,4.31E-05,0.000195834,0.000314628,0.000197021,0.000227398,0.000150618,0.000269232,0.000101805,0.000156139,0.000321629,0.00010966,,,,
01003,-1.64E-10,-0.000110081,-0.000128537,-0.002239518,6.34E-05,1.44E-05,0.000108941,0.000188715,0.000130144,0.000149114,0.000106604,0.000162414,0.000198304,0.000291247,0.00011562,3.20E-05,7.67E-05,7.68E-05,0.00027573,0.000630531,0.000565903,0.000203122,,,,
01005,-1.64E-10,-0.000110081,-0.000128537,-0.002285686,-4.32E-08,-2.51E-08,0.000986913,0.000376738,-9.56E-09,0.000236457,0.000126164,0.000883565,0.000399788,0.000823077,0.000521647,0.000140683,0.000766413,0.000453415,0.000528666,0.000825538,0.000432998,0.000361787,,,,
01007,-1.64E-10,-0.000110081,-0.000128537,-0.002222462,0.000133353,-2.51E-08,0.000145726,0.000586964,0.000277817,0.000230902,6.10E-05,0.000644827,0.000143663,0.000281564,-8.18E-09,0.000345082,0.000132202,-5.94E-09,0.000309958,0.000756397,0.000328319,0.000126466,,,,
01009,-1.64E-10,-0.000110081,-0.000128537,-0.002222462,3.23E-05,-2.51E-08,6.95E-05,0.000208547,0.000105472,0.000160909,0.000126231,0.000129325,0.000238002,0.000266434,6.88E-05,7.60E-05,0.000136,-5.94E-09,-5.06E-09,0.000161566,0.000146831,0.000171325,,,,
01011,-1.64E-10,-0.000110081,-0.000128537,-0.002222462,0.000320305,0.000489502,0.000125515,6.93E-05,4.00E-05,4.74E-05,2.52E-05,2.86E-05,6.14E-05,9.59E-05,0.000102515,-8.23E-09,0.00012071,-5.94E-09,-5.06E-09,-3.68E-09,4.10E-05,-3.84E-09,,,,
01013,-1.64E-10,-0.000110081,-0.000128537,-0.002291354,0.004245012,0.003417462,0.002221234,0.000201353,0.000603274,0.000117348,5.88E-05,0.000114811,0.000703013,0.000430774,-8.18E-09,0.000368769,0.000438764,-5.94E-09,0.000414783,0.000511137,0.000948024,0.000357375,,,,
01015,-1.64E-10,-0.000110081,-0.000128537,-0.002252014,-4.32E-08,0.000107965,0.000143707,0.000689401,0.000211488,0.000339598,0.000448551,0.000180872,0.000462214,0.000506615,0.00031219,0.000129885,0.000408112,0.000383896,0.000289619,0.000498094,0.000693789,0.00059518,,,,
01017,-1.64E-10,-0.000110081,0.003329242,-0.002472079,0.000205952,0.000162708,0.000592962,7.61E-05,8.08E-05,0.000123427,3.63E-05,9.97E-05,0.000119825,0.000486183,0.000178388,0.00014431,5.43E-05,-5.94E-09,0.00022252,7.76E-05,0.000145486,8.61E-05,,,,
01019,-1.64E-10,-0.000110081,-0.000128537,-0.002222462,0.000155942,0.000333566,5.69E-05,0.000167028,4.21E-05,5.14E-05,0.000118542,-6.10E-09,0.000129771,4.64E-05,0.000132857,6.04E-05,-6.72E-09,-5.94E-09,0.000338573,4.13E-05,0.000126099,6.01E-05,,,,
