FIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
01001,-0.124395277,-1.67E-06,-0.005716561,8.65E-05,0.000327512,0.000535852,0.000353799,0.000331258,0.000252506,0.000125632,9.12E-05,0.0001852,0.00026967,0.000198529,0.000188398,0.000193325,0.000249303,0.000260206,0.000247435,0.000299438,0.000180873,0.000116551,,,,
01003,-0.124395277,-1.67E-06,-0.005716453,0.00015787,4.82E-05,0.000127761,0.000327396,0.000280573,0.000266005,0.000150151,9.89E-05,0.000222346,0.000278486,0.000184966,0.000116884,7.52E-05,0.000181024,0.000197079,0.000543597,0.000557663,0.000192247,7.15E-05,,,,
01005,-0.124395277,-1.67E-06,-0.005715821,0.000441752,0.001173302,0.001324682,0.001003503,0.000616732,0.000500108,0.000285344,9.56E-05,0.000258879,0.000426988,0.000286327,0.000343792,0.00022172,0.000181286,0.000137224,0.000734209,0.000718399,0.000389261,0.000134428,,,,
01007,-0.124395277,-1.67E-06,-0.005716628,0.000233323,0.000173136,0.00045924,0.000418954,0.000384812,0.000190169,0.00017756,0.000126596,0.000259758,0.00022144,0.000117441,0.000136985,7.75E-05,0.000193091,0.000187688,0.000548824,0.000345779,0.000268551,7.84E-05,,,,
01009,-0.124395277,-1.67E-06,-0.005716197,4.98E-05,3.18E-05,0.000174088,0.000289438,0.000279142,0.000168334,0.000105388,9.98E-05,0.000169239,0.000134848,8.84E-05,0.0001404,6.93E-05,0.00017807,0.000200255,0.000236696,0.000210314,0.000150221,9.37E-05,,,,
01011,-0.124395277,-1.67E-06,-0.005716248,3.45E-05,0.000494042,0.000347183,6.73E-05,8.13E-05,4.40E-05,1.50E-05,7.95E-06,2.74E-05,3.90E-05,2.66E-05,2.30E-05,1.29E-05,6.35E-06,4.27E-05,1.76E-05,2.68E-05,2.05E-05,5.41E-06,,,,
01013,-0.124395277,-1.67E-06,-0.005716409,0.00064179,0.003518436,0.001692749,0.000537144,0.0004685,0.000191481,0.000181327,0.000117856,0.000231202,0.000278626,0.000249582,0.000361292,0.000145997,0.000306692,0.000408846,0.000500444,0.000442093,0.000308482,0.000147531,,,,
01015,-0.124395277,-1.67E-06,-0.005716505,0.000148243,9.14E-05,0.000142325,0.000628243,0.000587355,0.000494421,0.000307486,0.000161494,0.000289875,0.000299329,0.000276669,0.000366989,8.58E-05,0.000130606,0.000248442,0.000380854,0.000387431,0.000436931,0.000115254,,,,
01017,-0.124395277,-1.67E-06,-0.005719829,0.000671098,0.000129668,0.000434502,0.000216069,0.00013636,0.00011009,7.63E-05,6.06E-05,7.89E-05,0.000155359,6.91E-05,4.68E-05,3.31E-05,0.000140573,0.000173793,0.000193184,0.00019413,0.00013419,7.65E-05,,,,
01019,-0.124395277,-1.67E-06,-0.005716066,3.53E-05,4.50E-05,7.02E-05,0.000138935,0.000143608,0.000169027,6.17E-05,4.25E-05,5.82E-05,5.66E-05,2.38E-05,2.26E-05,1.96E-05,2.91E-05,2.97E-05,0.000111731,0.000118306,9.66E-05,3.43E-05,,,,
