FIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
01049,0,0,0,6.95E-06,2.51E-06,4.67E-06,1.60E-05,8.52E-06,1.06E-05,1.82E-05,1.37E-05,5.60E-05,0.000165806,8.41E-05,7.02E-06,1.04E-05,5.00E-06,3.82E-06,3.77E-06,3.09E-05,5.99E-05,3.23E-05,,,,
01051,0,0,0,4.02E-06,8.48E-06,7.66E-06,2.58E-05,1.09E-05,4.91E-06,1.26E-05,6.38E-06,2.23E-05,6.51E-05,6.40E-05,1.70E-05,2.96E-06,2.90E-06,6.40E-06,5.21E-06,1.55E-05,3.61E-05,1.95E-05,,,,
01053,0,0,0,5.82E-06,8.63E-06,1.13E-05,3.32E-05,2.53E-05,7.51E-06,2.32E-05,0,1.09E-05,5.09E-05,8.87E-05,5.71E-06,2.81E-06,5.62E-06,8.75E-06,8.51E-06,2.34E-05,9.51E-05,2.92E-05,,,,
01055,0,0,0,2.00E-05,3.20E-06,2.92E-06,8.67E-06,2.92E-05,6.90E-06,1.16E-05,1.74E-05,3.76E-05,0.000213303,0.000102141,2.65E-05,9.78E-06,7.56E-06,8.46E-06,4.79E-06,2.15E-05,9.11E-05,3.65E-05,,,,
01057,0,0,0,0,0,7.25E-06,2.80E-05,6.30E-06,3.14E-05,1.73E-05,1.38E-05,1.97E-05,0.000119748,0.0001143,1.51E-05,1.42E-05,0,5.63E-06,1.10E-05,5.19E-06,3.61E-05,4.35E-05,,,,
01059,0,0,0,0,3.56E-05,2.83E-05,3.23E-05,2.96E-05,1.22E-05,7.65E-06,8.97E-06,1.32E-05,9.89E-05,7.75E-05,1.65E-05,0,0,0,0,2.71E-05,4.39E-05,9.56E-06,,,,
01061,0,0,0,0,0,0,2.12E-06,6.35E-06,2.12E-06,3.86E-06,2.24E-06,2.48E-05,6.67E-05,3.82E-05,6.77E-06,1.73E-06,1.00E-05,0,3.54E-06,1.27E-05,5.32E-05,1.36E-05,,,,
01063,0,0,0,6.12E-05,0.000159354,0.00015021,0.000191929,0.000188546,0,9.19E-05,4.96E-05,9.28E-05,0.000335008,0.000237925,7.38E-05,0,0,0,0.00011128,8.00E-05,0.000161531,3.77E-05,,,,
01065,0,0,0,6.58E-05,0.000186136,0.000280491,0.000125872,5.72E-05,0,3.92E-05,2.37E-05,4.98E-05,0.000466501,0.000289466,8.36E-05,3.18E-05,5.44E-05,0,0,5.15E-05,8.39E-05,3.15E-05,,,,
01067,0,0,0,3.99E-06,2.57E-06,4.58E-06,0,0,2.32E-06,2.13E-06,0,4.01E-06,5.46E-05,2.11E-05,1.87E-06,3.83E-06,0,1.98E-06,1.93E-06,2.02E-06,2.57E-05,1.31E-05,,,,
01069,0,0,0,7.85E-06,0,2.43E-06,9.79E-06,6.13E-06,2.47E-06,1.58E-05,3.76E-06,2.90E-05,0.000173987,6.41E-05,1.08E-05,8.03E-06,4.89E-06,4.14E-06,4.09E-06,2.55E-05,7.32E-05,2.50E-05,,,,
01071,0,0,5.35E-06,7.55E-06,0,5.04E-06,1.00E-05,1.97E-05,1.43E-05,3.16E-05,2.07E-05,5.51E-05,0.00017296,0.000161193,1.56E-05,1.55E-05,7.35E-06,8.50E-06,1.25E-05,2.74E-05,0.000147817,9.47E-05,,,,
01073,0,0,0,1.78E-05,1.48E-05,9.31E-06,1.90E-05,1.70E-05,1.10E-05,6.60E-06,2.60E-05,4.05E-05,9.37E-05,5.52E-05,1.64E-05,9.42E-06,3.89E-06,5.85E-06,4.16E-06,1.16E-05,2.75E-05,2.74E-05,,,,
01075,0,0,0,0,0,5.93E-06,5.75E-06,0,0,1.95E-05,1.17E-05,4.09E-05,7.16E-05,2.78E-05,0,3.97E-06,1.23E-05,4.66E-06,0,0,2.99E-05,1.60E-05,,,,
01077,0,0,1.92E-06,3.15E-06,0,5.45E-06,9.19E-06,2.36E-05,1.70E-05,1.40E-05,1.95E-05,2.64E-05,0.000146455,0.000109619,1.13E-05,2.47E-05,1.10E-05,9.23E-06,4.59E-06,5.64E-06,3.63E-05,1.76E-05,,,,
01079,0,0,0,0,0,0,0,1.92E-05,7.68E-05,2.94E-05,1.21E-05,2.36E-05,0.000109725,5.92E-05,3.24E-05,9.60E-06,9.47E-06,0,0,0,2.68E-05,3.12E-05,,,,
01081,0,0,2.07E-06,4.75E-05,4.82E-06,4.41E-06,6.31E-06,8.82E-06,6.02E-06,3.17E-06,9.06E-07,8.62E-06,4.40E-05,2.05E-05,9.03E-06,1.37E-06,4.00E-06,3.31E-06,3.34E-06,7.35E-06,1.84E-05,1.51E-05,,,,
01083,0,0,0,0,0,0,3.01E-05,9.14E-06,9.00E-06,2.96E-05,2.66E-05,3.14E-05,0.000114216,7.12E-05,2.07E-05,9.15E-06,1.07E-05,4.10E-06,0,2.59E-05,3.86E-05,2.13E-05,,,,
01085,0,0,0,1.44E-05,0.000119771,8.07E-05,5.77E-05,0,9.95E-06,1.88E-05,0,3.08E-05,7.33E-05,0.000126344,1.56E-05,0,7.68E-06,0,7.52E-06,0,3.96E-05,2.91E-05,,,,
01087,0,0,0,7.37E-06,5.12E-06,9.11E-06,8.63E-06,1.12E-05,0,4.91E-06,1.91E-06,1.67E-05,1.39E-05,8.62E-06,5.80E-06,2.80E-06,1.62E-06,3.43E-06,0,2.61E-06,5.40E-06,6.47E-06,,,,
01089,0,0,5.63E-07,2.90E-06,0,1.70E-06,1.30E-05,1.44E-05,1.24E-05,1.06E-05,2.59E-05,1.55E-05,5.93E-05,9.96E-05,1.58E-05,4.07E-06,6.57E-06,6.19E-06,3.31E-06,8.93E-06,4.15E-05,2.70E-05,,,,
01091,0,0,0,2.97E-05,2.43E-05,3.75E-05,2.22E-05,2.78E-05,1.40E-05,2.03E-05,7.37E-06,1.41E-05,5.77E-05,0.000150062,1.66E-05,3.22E-05,5.32E-06,5.98E-06,6.00E-06,1.73E-05,8.40E-05,2.56E-05,,,,
01093,0,0,0,4.37E-05,2.75E-05,5.16E-06,6.05E-05,1.87E-05,4.52E-06,8.47E-06,2.45E-05,3.29E-05,0.000144438,0.000100925,1.47E-05,3.45E-06,7.05E-06,1.63E-05,4.11E-06,1.11E-05,4.79E-05,1.36E-05,,,,
