FIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
01001,0,0,0,7.12E-05,0,0.000142488,0.000160299,3.56E-05,7.12E-05,7.12E-05,0.000195921,0.000106866,0.000374032,0.000391843,0.000142488,0.000142488,5.34E-05,5.34E-05,1.78E-05,7.12E-05,0.000391843,0.000142488,0.000160299,5.34E-05,0.000106866,0.000124677
01003,0,0,0,1.31E-05,2.62E-05,4.36E-06,5.23E-05,8.72E-05,4.36E-05,8.29E-05,0.000117756,0.000274765,0.000274765,0.000257319,7.85E-05,1.74E-05,2.62E-05,1.74E-05,6.11E-05,0.000244235,0.000540807,0.000200622,0.000148286,1.74E-05,8.29E-05,6.11E-05
01005,0,0,0,4.07E-05,0,0,0.000162674,8.13E-05,0,8.13E-05,8.13E-05,0.00085404,0.000325349,0.000447355,0.000162674,4.07E-05,0.000122006,4.07E-05,4.07E-05,0.000162674,0.000244012,0.000203343,0.000162674,4.07E-05,0.000122006,0.000122006
01007,0,0,0,0,4.52E-05,0,4.52E-05,0.000271052,0.000135526,0.000180701,9.04E-05,0.001310083,0.000271052,0.000361402,0,0.000225876,4.52E-05,0,4.52E-05,0.000361402,0.000451753,0.000180701,0.000316227,4.52E-05,4.52E-05,4.52E-05
01009,0,0,0,0,1.73E-05,0,3.46E-05,0.000138219,6.91E-05,0.000172774,0.000259161,0.000397381,0.000639265,0.00046649,6.91E-05,6.91E-05,6.91E-05,0,0,0.000103665,0.000259161,0.000310994,0.000241884,0.000103665,0.000155497,8.64E-05
01011,0,0,0,0,0.000501203,0.000501203,0.000200481,0.000200481,0.000100241,0.000200481,0.000200481,0.000300722,0.000701684,0.000701684,0.000400962,0,0.000200481,0,0,0,0.000300722,0,0.000100241,0.000100241,0.000100241,0.000200481
01013,0,0,0,5.13E-05,0.000871616,0.000461444,0.000461444,5.13E-05,0.000153815,5.13E-05,5.13E-05,0.000153815,0.000769073,0.000307629,0,0.000153815,0.000102543,0,5.13E-05,0.000153815,0.000769073,0.000307629,0.000205086,0.000102543,0.000307629,0.000153815
01015,0,0,0,2.64E-05,0,1.76E-05,3.53E-05,0.00023795,7.05E-05,0.000185073,0.000493527,0.000308454,0.000669786,0.000475901,0.000167447,6.17E-05,0.000105756,5.29E-05,3.53E-05,0.00017626,0.000652161,0.00059047,0.000202699,0.000123382,0.000193886,0.000105756
01017,0,0,0.00012171,0.000517268,0.00012171,6.09E-05,0.000334703,6.09E-05,6.09E-05,0.000152138,9.13E-05,0.000395558,0.000395558,0.001034535,0.000212993,0.000152138,3.04E-05,0,6.09E-05,6.09E-05,0.000304275,0.000182565,0,0.000152138,3.04E-05,3.04E-05
01019,0,0,0,0,0.000114094,0.000152126,3.80E-05,0.000152126,3.80E-05,7.61E-05,0.000342283,0,0.000494409,0.000114094,0.000190157,7.61E-05,0,0,0.000114094,3.80E-05,0.000304252,0.000152126,7.61E-05,7.61E-05,0.000152126,0.000114094
