STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,1,-0.100290665,-0.002037077,0.004172048,0.002002913,0.008473719,0.020650843,0.025635911,0.022685763,0.016841968,0.007692928,-0.008763498,-0.008613011,-0.006530677,0.005725199,-0.005399546,-0.005312617,0.010077863,0.012943161,0.016754444,0.010593369,-0.007758341,-0.009909744
AK,2,-0.100290665,-0.002037077,0.022185679,0.002592289,0.002404829,0.022157044,0.043054418,0.052356491,0.060412401,0.08835588,0.078683125,0.054176466,0.023450923,0.041289804,0.064320134,0.066367675,0.050448518,0.059062518,0.089882562,0.077126636,0.142067262,0.177704196
AZ,4,0.258996137,-0.002037077,0.010094228,0.006157365,0.020184645,0.131251785,0.114244762,0.03593936,0.019295153,0.011682559,0.009410961,0.031029412,0.048127174,0.02726307,0.012148385,0.010339818,0.021383605,0.046619422,0.040680922,0.019461511,0.009417837,0.015560012
AR,5,-0.100290665,-0.002037077,0.004460673,-0.001830236,0.005618752,0.02775021,0.020969672,0.021337997,0.024099472,0.011651445,-0.008266903,0.008109188,0.00512374,0.011723561,-0.00371682,-0.005825633,-0.007640408,0.020543722,0.042705651,0.010763341,-0.007121954,-0.010584544
CA,6,0.210015669,0.129350311,0.015444912,0.01188945,0.026708275,0.06146615,0.068502475,0.063286,0.031292477,0.012156148,0.008044181,0.048638131,0.056537675,0.031062518,0.013295188,0.009506337,0.013498101,0.017577432,0.065413177,0.023947268,0.008687969,0.01027665
CO,8,-0.100290665,-0.002037077,0.023186599,0.014910616,0.017335849,0.010024991,0.009226323,0.008433102,0.012236346,0.014663737,0.019215017,0.008502298,-0.006001017,0.012651607,0.016231958,0.023641368,0.035941553,0.038987074,0.014757102,-0.007924776,-0.007629219,0.011191601
CT,9,-0.100290665,-0.002037077,0.070777314,0.098489431,0.070834558,0.021953148,0.005562704,0.006943492,0.011668914,0.015012467,0.018912155,0.02794287,0.031392034,0.045554461,0.054437689,0.04560001,0.022960516,0.015293137,0.014110748,0.009786859,-0.007405704,-0.009817424
DE,10,-0.100290665,-0.002037077,0.022616816,0.052953094,0.073109727,0.028734826,0.02152038,0.020777619,0.027808295,0.017606477,0.011332951,0.028876823,0.033426537,0.042231447,0.042454674,0.048451635,0.045581906,0.017871275,0.013152883,0.011024838,0.015858892,0.021939168
,11,-0.100290665,-0.002037077,0.042715838,0.083565838,0.129573444,0.053343389,0.025245045,0.033482301,0.021854554,0.012725836,0.007557078,0.013033139,0.014024797,0.032188153,0.040441548,0.028890586,0.023372876,0.017926207,0.014804708,0.013847487,0.009940871,0.01041745
FL,12,-0.100290665,-0.002037077,0.013049116,0.007632184,0.008514089,0.047114595,0.081608507,0.04595387,0.022590177,0.009300496,-0.008180235,0.007809307,0.010001597,0.018576039,0.017146612,0.018539777,0.021373238,0.012906939,0.076012352,0.052712833,0.012793431,-0.009594601
