STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,1,8.791001461,8.318555279,6.835930357,4.323344032,6.301945614,7.031060247,7.210706747,7.550121995,7.248548419,7.857951752,7.043108528,7.422431877,7.274284308,7.134951068,9.102778972,9.232463591,9.234617188,8.518291256,8.729765853,9.019424033,8.914255155,9.496727645
AK,2,2.223806936,1.878401212,1.480133429,0.971270987,1.277084378,1.508716002,1.625162633,1.569984286,1.447553324,1.428876579,1.199683746,1.320102564,1.325502543,1.24345103,1.4963742,1.521713969,1.703181411,1.813079072,1.928659735,1.890395219,1.696279013,1.650270069
AZ,4,4.125806165,3.624514293,2.847416007,1.635478261,2.111147882,2.347489645,2.276755696,2.443081973,2.457576676,2.764075274,2.529439927,2.623460853,2.506730198,2.497365659,3.069495504,3.012691808,3.030916939,2.738391174,2.83464672,3.105666033,3.108443136,3.273013007
AR,5,7.747636876,7.292490535,5.95833919,4.100962144,5.330577372,5.868545089,6.081758522,6.546253088,6.604742021,7.040905494,6.046556996,6.373325124,6.365527787,5.440260787,8.134129368,8.158216967,8.240777001,7.585017037,7.646959171,8.301983619,8.338396487,8.785954697
CA,6,3.68141668,3.345846831,2.411082578,1.247724794,1.551725817,1.889878114,2.020094072,2.07408002,1.963689134,2.098139691,1.931215133,1.936954098,1.802960917,1.786623822,2.143145469,2.202406935,2.412340348,2.347787616,2.445790038,2.531001869,2.499878633,2.602220942
CO,8,6.043524489,5.07201502,3.901822041,2.056234126,2.856969664,3.557737384,4.079901076,4.183168469,3.829910159,3.923476325,3.309999847,3.577872139,3.516228316,3.321795011,4.054994052,4.089994368,4.435147947,4.462928045,4.703065696,4.681493888,4.563863197,4.601139449
CT,9,3.57641539,3.155134683,2.304383799,1.196550132,1.580092077,1.987193162,2.194324665,2.33319061,2.294192082,2.335481301,1.98511501,2.042199535,1.950260135,1.774095405,2.274135326,2.303456615,2.568598704,2.390826723,2.369991223,2.349934186,2.517087967,2.621186751
DE,10,3.643660526,3.416919586,2.50864757,1.414123706,1.785127618,2.568797001,2.783614661,2.808550591,2.544842011,2.547040005,2.255365527,2.294262618,2.159037869,1.985920274,2.622847988,2.671449085,2.942397161,2.968029274,3.278538197,3.113790004,2.997882062,3.065104797
,11,4.637617562,4.385786795,2.972221443,1.094349734,1.299023872,1.533832013,1.826249691,1.820179401,1.821615957,1.897559819,1.671676842,1.697816828,1.89474142,1.457131995,1.849539011,1.866074836,1.873822978,2.036005084,2.304236998,2.274770768,2.187839499,2.30514186
FL,12,6.042906254,5.299995601,4.016255369,2.039436327,2.934038263,3.572397295,3.638638694,3.686287253,3.603489105,3.947743078,3.475462461,3.947387678,3.734778068,3.566730786,4.507549149,4.675112703,4.794235688,4.675882949,4.719169724,4.274542739,4.098788901,4.484812899
GA,13,8.841369439,8.03387539,6.411903735,3.847868402,5.467740808,6.165826067,6.501096684,6.847163174,6.580739881,7.202148512,6.564265398,6.966625637,6.528156958,6.372313041,8.043244469,7.837990173,8.267508632,7.506028235,7.833739106,8.027711067,7.774598117,8.371401465
HI,15,4.792106075,4.121793368,3.286418821,1.507997834,1.897577551,2.263904347,2.482077546,2.295379693,1.977260936,2.369874045,2.394564771,2.746665615,2.480437894,2.386697711,3.138187755,3.22773819,3.406732452,3.769577386,3.995179125,3.677690074,3.075707566,3.253345757
ID,16,4.026523978,3.489120172,2.872518286,1.872914583,2.551646959,3.036431401,3.217073282,3.25512107,3.165694261,3.211710684,2.667485534,2.899917511,2.87364204,2.725566023,3.332946342,3.380518394,3.641169558,3.626253686,3.749082742,3.720088477,3.705945494,3.790922173
IL,17,5.337783664,4.79552017,3.673378892,2.011056657,2.55953964,3.26704556,3.668217116,3.889904691,3.647889221,3.767844287,3.164219986,3.358178213,3.173295317,3.039695397,3.893031834,4.019774253,4.351185101,4.085976359,4.096071032,4.352991492,4.362535859,4.44940302
IN,18,6.401718265,5.664685454,4.386848139,2.675886568,3.748014827,4.524752134,4.882721168,5.314572433,5.199255124,5.237742883,4.413202727,4.667895247,4.589497366,4.335951856,5.526220686,5.596887351,5.949812826,5.468956779,5.636035958,6.192920217,6.089367017,6.134598272
IA,19,6.291428552,5.863995036,4.667128909,2.924634929,3.845153294,4.731845853,5.024934243,5.395038692,5.355860374,5.543564673,4.537013195,4.852191881,4.924778754,4.728328298,5.865619155,6.080654364,6.422646189,6.032182088,5.928091161,6.355218376,6.554565567,6.673067787
KS,20,6.242901635,5.805935538,4.516981061,2.751010449,3.760693663,4.627018967,4.684304887,5.061396696,4.980819238,5.232248212,4.390496275,4.591964116,4.565057717,4.372087013,5.622564653,5.707994873,5.956925052,5.603174886,5.563485202,6.060011566,6.087456779,6.364716239
KY,21,7.707104203,7.035202181,5.67638245,3.585064139,4.608018402,5.410740876,5.756357193,6.15965176,6.054387167,6.347147167,5.277340716,5.403925534,5.535807798,5.051624088,7.331930017,7.112607491,7.474541856,6.817854974,7.157994716,7.788753858,7.692172273,7.951909777
LA,22,6.590615246,6.167634603,4.829690838,2.975524896,4.134945339,4.772431013,4.770886835,4.967428007,5.056136788,5.407736912,4.925348633,5.23447416,5.084817669,4.571987067,6.342924439,6.069925536,6.316276688,5.861124459,5.941234439,5.92785452,5.891263347,6.633837095
ME,23,2.515036578,2.252664722,1.740720414,0.987188005,1.314714537,1.684421849,2.056392629,2.222799693,2.023521247,1.988150127,1.562224242,1.66446023,1.605378253,1.565023209,1.952005753,1.95573129,2.249431726,2.39033775,2.636063937,2.617005928,2.473043186,2.486675095
