STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,1,0,0,4.16E-07,1.21E-05,1.15E-05,9.25E-06,1.78E-05,1.62E-05,1.01E-05,1.11E-05,1.76E-05,3.42E-05,7.99E-05,6.38E-05,1.40E-05,7.55E-06,5.52E-06,4.96E-06,4.28E-06,1.69E-05,4.60E-05,2.73E-05
AK,2,0,0,1.90E-06,7.25E-06,1.10E-06,3.73E-06,8.66E-06,1.26E-05,1.75E-05,2.46E-05,4.46E-05,8.85E-05,5.84E-05,2.94E-05,1.98E-05,2.87E-05,1.82E-05,6.21E-06,8.76E-06,4.10E-05,0.000109573,0.00012628
AZ,4,0,0,1.14E-06,2.50E-05,3.74E-05,4.24E-05,0.000121325,7.37E-05,3.42E-05,1.58E-05,3.52E-05,0.000114999,0.000227968,0.000154311,4.33E-05,1.60E-05,1.35E-05,1.53E-05,1.47E-05,2.34E-05,5.19E-05,4.82E-05
AR,5,0,0,4.43E-07,4.35E-06,4.46E-06,7.70E-06,9.93E-06,1.74E-05,2.86E-05,2.62E-05,3.15E-05,6.08E-05,6.18E-05,2.33E-05,1.56E-05,4.57E-06,3.76E-06,3.39E-06,1.02E-05,3.15E-05,3.00E-05,2.57E-05
CA,6,0,0,1.94E-06,3.81E-05,3.58E-05,2.47E-05,3.95E-05,4.65E-05,3.72E-05,2.13E-05,2.04E-05,8.86E-05,0.000210809,0.000160444,8.36E-05,2.88E-05,1.58E-05,9.09E-06,8.96E-06,1.76E-05,3.47E-05,2.80E-05
CO,8,0,0,3.04E-06,5.92E-05,4.04E-05,1.19E-05,6.37E-06,4.57E-06,4.90E-06,1.09E-05,3.91E-05,8.76E-05,4.08E-05,1.74E-05,5.52E-06,1.08E-05,1.13E-05,8.64E-06,5.60E-06,8.24E-06,1.55E-05,2.41E-05
CT,9,0,0,8.42E-06,0.000514081,0.000300513,5.35E-05,1.41E-05,4.10E-06,5.27E-06,1.30E-05,5.72E-05,0.000134497,0.000151505,9.13E-05,3.26E-05,2.71E-05,1.54E-05,4.70E-06,1.78E-06,7.78E-06,3.03E-05,1.50E-05
DE,10,0,0,4.04E-06,0.000101758,0.000121482,5.64E-05,2.77E-05,7.22E-06,1.23E-05,2.86E-05,2.88E-05,6.80E-05,7.70E-05,0.000169412,5.29E-05,2.50E-05,1.24E-05,1.13E-05,4.30E-05,1.53E-05,2.50E-05,4.53E-05
,11,0,0,4.25E-06,0.000275616,0.000261349,7.77E-05,2.61E-05,1.70E-05,1.54E-05,1.40E-05,2.85E-05,8.76E-05,9.40E-05,0.000100128,3.56E-05,3.08E-05,2.02E-05,6.20E-06,4.87E-06,6.78E-06,8.98E-06,9.74E-06
FL,12,0,0,9.74E-07,2.67E-05,1.86E-05,1.36E-05,4.22E-05,5.42E-05,4.00E-05,2.85E-05,2.43E-05,3.59E-05,5.92E-05,5.64E-05,2.63E-05,1.71E-05,1.55E-05,1.09E-05,1.17E-05,5.90E-05,0.000186427,6.23E-05
GA,13,0,0,1.83E-06,2.42E-05,1.54E-05,1.12E-05,1.32E-05,2.50E-05,1.93E-05,1.21E-05,2.01E-05,1.86E-05,4.56E-05,4.36E-05,2.00E-05,1.30E-05,7.25E-06,6.94E-06,3.05E-06,1.20E-05,3.86E-05,3.14E-05
HI,15,0,0,2.16E-07,7.07E-06,3.75E-07,3.14E-07,2.00E-06,1.36E-05,2.37E-05,2.49E-05,7.12E-06,1.14E-05,3.47E-05,8.64E-06,5.44E-06,4.40E-06,3.55E-06,3.21E-06,3.56E-06,1.00E-05,4.46E-05,2.93E-05
ID,16,0,0,1.71E-06,1.58E-05,4.29E-06,1.80E-06,1.72E-05,2.88E-05,1.82E-05,2.74E-05,6.32E-05,9.46E-05,5.50E-05,2.71E-05,1.71E-05,1.36E-05,6.61E-06,9.36E-06,6.57E-06,2.43E-05,8.03E-05,9.11E-05
IL,17,0,0,2.31E-06,8.90E-05,9.51E-05,4.16E-05,1.24E-05,1.14E-05,1.47E-05,2.31E-05,8.23E-05,0.000117432,8.17E-05,3.90E-05,1.72E-05,1.41E-05,1.70E-05,8.79E-06,4.71E-06,1.07E-05,2.12E-05,1.71E-05
IN,18,0,0,2.06E-06,5.83E-05,4.03E-05,1.66E-05,9.85E-06,9.28E-06,9.57E-06,1.98E-05,4.67E-05,8.06E-05,5.52E-05,8.87E-05,1.25E-05,7.78E-06,7.19E-06,6.23E-06,4.07E-06,1.16E-05,2.84E-05,2.48E-05
IA,19,0,0,4.74E-07,1.68E-05,3.08E-05,1.21E-05,9.88E-06,1.45E-05,1.40E-05,2.04E-05,4.95E-05,9.57E-05,6.48E-05,3.80E-05,1.47E-05,1.08E-05,5.17E-06,4.35E-06,2.40E-06,4.23E-06,1.42E-05,1.90E-05
KS,20,0,0,7.60E-07,1.53E-05,7.12E-06,4.82E-06,6.01E-06,6.31E-06,1.56E-05,2.39E-05,4.16E-05,8.83E-05,7.80E-05,7.50E-05,1.37E-05,6.82E-05,5.47E-06,4.72E-06,6.85E-06,1.68E-05,2.76E-05,1.98E-05
KY,21,0,0,7.08E-07,1.38E-05,9.74E-06,6.07E-06,6.44E-06,7.69E-06,8.96E-06,1.21E-05,2.18E-05,3.68E-05,4.12E-05,3.58E-05,4.16E-05,1.48E-05,9.50E-06,1.09E-05,3.46E-06,1.28E-05,3.00E-05,2.80E-05
LA,22,0,0,1.07E-05,0.000120849,4.63E-05,1.95E-05,3.30E-05,4.35E-05,2.40E-05,1.63E-05,3.14E-05,4.41E-05,5.82E-05,3.54E-05,1.81E-05,8.57E-06,6.63E-06,5.97E-06,9.49E-06,4.95E-05,5.83E-05,1.95E-05
ME,23,0,0,2.13E-06,3.60E-05,2.03E-05,7.04E-06,6.48E-06,3.00E-06,3.29E-06,2.24E-06,2.23E-05,6.81E-05,0.000112111,5.35E-05,1.52E-05,1.55E-05,1.35E-05,1.02E-05,1.21E-05,9.06E-06,2.70E-05,4.32E-05
