STATENM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
MD,0,0,0.000274448,0.003329534,0.005223255,0.002426764,0.003427292,0.003275371,0.002720531,0.003364707,0.008771258,0.012900686,0.012849661,0.004562897,0.004829748,0.005954785,0.002066778,0.000394663,0.001035536,0.00469946,0.005836551,0.004777402,0.004107631,0.018893121,0.042066765,0.002087089
MA,0,1.45E-07,0.00096017,0.008063306,0.005059495,0.001730017,0.001266397,0.001584229,0.000645239,0.003838357,0.009799851,0.021621005,0.021592138,0.008286413,0.007896049,0.007745329,0.002607066,0.000438234,0.001423645,0.005815416,0.007555152,0.005798299,0.009744582,0.032133839,0.068321599,0.004963318
MI,0,0,0.00076546,0.003383717,0.001606272,0.001369581,0.002010324,0.002248721,0.002527052,0.005928829,0.019157874,0.013903099,0.008863444,0.003678603,0.010059544,0.019038976,0.005580966,0.000843722,0.001104193,0.004931895,0.008983846,0.012482749,0.020024472,0.023485246,0.054816634,0.005865216
MN,0,0,0.000111183,0.000796664,0.00348662,0.002029221,0.003210872,0.003784463,0.004114123,0.008721233,0.030101769,0.017064374,0.008226125,0.004027863,0.006176929,0.009951316,0.004523326,0.000705808,0.001296722,0.006586662,0.010807195,0.013518186,0.022063365,0.01941866,0.05294907,0.011187586
MS,0,0,0.00031583,0.001981269,0.002927747,0.003959504,0.010617213,0.008157986,0.005136872,0.00740532,0.011160225,0.021080388,0.019950883,0.006671866,0.003488961,0.002276538,0.001959359,0.001365451,0.007328132,0.031420197,0.017416828,0.005367425,0.003321102,0.009965667,0.061912453,0.015871384
MO,0,0,0.000219457,0.001010477,0.000932123,0.001459633,0.004681586,0.005730915,0.007109918,0.009730884,0.020329192,0.016850393,0.013150023,0.004075397,0.010452654,0.00215458,0.002368997,0.003159205,0.009915065,0.012864729,0.010123793,0.005730915,0.008122508,0.016410341,0.05242209,0.007093337
MT,0,0,0.000183235,0.00023506,5.83E-05,0.000418295,0.002785549,0.003204769,0.005311051,0.018158817,0.027258585,0.017995016,0.01134579,0.005587755,0.004331019,0.003937711,0.00277722,0.001789785,0.00242278,0.009965046,0.022151129,0.023002526,0.014049901,0.006072682,0.041779531,0.01210742
NE,0,6.71E-06,9.60E-05,0.002133104,0.005041929,0.002666251,0.003622096,0.004171759,0.005820231,0.013085584,0.030080225,0.020000495,0.012370249,0.004921158,0.004377173,0.005276762,0.002583156,0.000556372,0.001913239,0.0081572,0.013965045,0.008961824,0.013441188,0.014672638,0.052163245,0.005866165
NV,0,0,0.000354655,0.001288294,0.001139167,0.003171822,0.009419235,0.00674769,0.003430565,0.006615133,0.016532096,0.023082544,0.016978204,0.004896983,0.003181382,0.003708744,0.002647965,0.003175009,0.007229805,0.010897443,0.009788548,0.0089231,0.006793257,0.00973151,0.049618913,0.004906542
NH,0,0,0.000268614,0.00130208,0.001833452,0.000831458,0.000586266,0.000506487,0.00072533,0.002062542,0.007253298,0.016858978,0.015858447,0.007120821,0.006405738,0.007881283,0.003247516,0.000704836,0.000856343,0.005146841,0.009206785,0.010429086,0.020491482,0.027390533,0.057227864,0.007650729
NJ,0,0,0.002104843,0.011614129,0.004705163,0.001497798,0.001127402,0.001180428,0.001504215,0.003672105,0.011196785,0.015789478,0.024481076,0.010424244,0.013457893,0.009976165,0.00215438,0.000796522,0.001796592,0.005923306,0.007065006,0.005001142,0.006061782,0.035074869,0.061650544,0.003135424
NM,0,0,0.00014955,0.001469863,0.002031031,0.002116489,0.004013162,0.002256069,0.001938453,0.008097539,0.024025326,0.021745044,0.014796904,0.005254665,0.003098296,0.002887027,0.002415589,0.001291827,0.002313989,0.010538765,0.009690365,0.010532593,0.018541826,0.016986506,0.061739936,0.00923127
NY,0,0,0.003941246,0.01207466,0.003406928,0.001167051,0.00111606,0.001021732,0.001235418,0.002526481,0.00726724,0.016874168,0.022812696,0.011582076,0.011763647,0.009035994,0.00280869,0.000647161,0.001825434,0.006608289,0.007669686,0.006898513,0.008826808,0.038546136,0.068034196,0.003495567
NC,0,0,0.000144045,0.000847104,0.001714867,0.00343162,0.005405807,0.004303345,0.004057704,0.006018495,0.008505283,0.016612106,0.02047841,0.009562371,0.005275911,0.005201766,0.002952035,0.001209434,0.003264464,0.015674915,0.017175459,0.007748361,0.005350151,0.014066832,0.069409894,0.00919938
ND,0,0,0.000164639,0.001229569,0.001976979,0.001313195,0.003780172,0.00698672,0.013105817,0.028840638,0.046173506,0.017305428,0.006733228,0.002860283,0.004291077,0.005725792,0.003228761,0.00099829,0.001225649,0.007649198,0.019159581,0.021217574,0.018165212,0.015533595,0.06474117,0.012828805
OH,0,0,0.000188058,0.001353605,0.001495397,0.001391918,0.003366909,0.002736458,0.002636571,0.005277419,0.017562832,0.023887096,0.016711569,0.006125774,0.004288298,0.00468186,0.002533264,0.00080303,0.001535335,0.007835568,0.016511453,0.011233436,0.012390944,0.027868977,0.048259602,0.003860871
OK,0,0,0.000142183,0.000766683,0.000725485,0.001821501,0.005702396,0.005596135,0.007164168,0.008939699,0.018836244,0.023410219,0.024778542,0.008834694,0.003480722,0.002497247,0.0012593,0.001307783,0.005723497,0.017916827,0.019865439,0.00788463,0.005764946,0.010553451,0.06731741,0.021030034
OR,0,2.36E-07,0.000162442,0.000429093,0.000408581,0.001049627,0.002314036,0.001936812,0.001610512,0.002680415,0.007198149,0.009071068,0.006716481,0.003107386,0.002219966,0.004674046,0.003942702,0.001678413,0.0026111,0.013328282,0.012676391,0.008251548,0.006140742,0.007111623,0.050126995,0.008970161
PA,0,0,0.000390902,0.003381533,0.002189896,0.001174036,0.001999569,0.001725148,0.001978761,0.003808185,0.012059136,0.021832391,0.015816317,0.006857957,0.007392797,0.009843425,0.003951185,0.000768584,0.000971818,0.005582773,0.010136073,0.010560613,0.013453617,0.023429402,0.048896549,0.004066101
RI,0,0,0.000461629,0.007693508,0.005966182,0.002041386,0.00208963,0.002768831,0.002728154,0.007686887,0.022560246,0.030727681,0.025057585,0.011018565,0.011074376,0.010270309,0.004176422,0.001059477,0.00163273,0.007830673,0.011067755,0.006729573,0.011690197,0.03720752,0.106593828,0.015425801
SC,0,0,0.000207549,0.000960514,0.001105013,0.004702532,0.010083671,0.005744686,0.00554806,0.0054944,0.007833401,0.017251688,0.026040237,0.014073675,0.006670512,0.005179914,0.00279856,0.000695089,0.003891883,0.022640493,0.023399399,0.007620869,0.004056887,0.01092345,0.07851588,0.008824769
SD,0,0,0.000121778,0.0026666,0.002894223,0.002016737,0.002276227,0.005402625,0.010106448,0.026862893,0.039233048,0.021282722,0.010340899,0.0047539,0.006070697,0.005581309,0.001742452,0.000402892,0.000780746,0.008015733,0.01452119,0.010771106,0.013345519,0.014790923,0.0537292,0.006813885
TN,0,0,0.000297524,0.001265603,0.001789792,0.002922533,0.008760049,0.007152924,0.006006679,0.009230076,0.015898307,0.029936397,0.020431885,0.007693811,0.005270782,0.005128917,0.002202318,0.001177609,0.003724062,0.022154738,0.024702062,0.007393528,0.005177851,0.01362963,0.061422999,0.022506423
