STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
LA,22,0,0,5.18E-05,0.000359588,0.000191564,9.29E-05,0.000157225,0.000216185,0.000121159,8.81E-05,0.000154418,0.000230655,0.000296093,0.000161761,0.000115111,5.20E-05,4.19E-05,3.50E-05,5.64E-05,0.000293718,0.00034339,0.000129149,5.49E-05,4.04E-05,0.000148587,0.00010021
ME,23,0,0,3.70E-06,3.56E-05,2.67E-05,1.19E-05,1.33E-05,6.67E-06,6.67E-06,4.44E-06,3.48E-05,0.000113321,0.000179981,8.37E-05,2.96E-05,3.04E-05,3.04E-05,2.44E-05,3.18E-05,2.37E-05,6.67E-05,0.000107396,0.000116284,0.000153317,0.000153317,6.22E-05
MD,24,0,0,2.97E-06,0.000185112,0.00023399,0.000112124,5.27E-05,4.41E-05,3.20E-05,3.27E-05,8.16E-05,0.000207074,0.000205753,0.000122527,6.89E-05,7.56E-05,0.000148122,2.49E-05,1.39E-05,3.12E-05,7.07E-05,7.48E-05,5.38E-05,9.12E-05,0.000285016,7.45E-05
MA,25,0,0,1.29E-05,0.000503803,0.000476386,0.000175381,8.07E-05,6.56E-05,5.74E-05,7.76E-05,0.000109812,0.00024298,0.000312465,0.000223542,0.000155072,6.17E-05,3.80E-05,1.77E-05,1.31E-05,2.38E-05,5.53E-05,5.35E-05,5.93E-05,0.000126059,0.000255455,0.000101979
MI,26,0,0,2.65E-05,0.000353583,0.000170871,7.09E-05,2.57E-05,3.05E-05,3.29E-05,6.18E-05,0.000187327,0.000345656,0.000253046,9.96E-05,6.17E-05,0.000163647,0.000162744,6.26E-05,1.92E-05,3.64E-05,8.06E-05,0.000130838,0.000173681,0.000362914,0.000325188,0.000103045
MN,27,0,0,2.12E-06,5.89E-05,0.00012497,7.57E-05,2.90E-05,3.99E-05,3.94E-05,7.46E-05,0.000201685,0.000305797,0.000156611,5.00E-05,6.63E-05,5.51E-05,4.98E-05,2.97E-05,1.31E-05,2.53E-05,6.22E-05,9.49E-05,0.000126031,0.000203276,0.000159969,6.36E-05
MS,28,0,0,6.74E-06,8.16E-05,0.000159432,0.000114265,0.000198868,0.000273023,0.000167184,0.000123029,0.000159432,0.000330324,0.000424028,0.000214373,0.00011831,5.63E-05,3.94E-05,3.27E-05,4.42E-05,0.000291898,0.000401445,0.000160106,7.08E-05,5.60E-05,0.000163477,0.000193138
MO,29,0,0,2.44E-06,5.30E-05,7.20E-05,4.11E-05,4.36E-05,5.17E-05,8.70E-05,0.000151832,0.000144842,0.000309841,0.000209541,0.000196048,9.72E-05,4.32E-05,7.06E-05,4.18E-05,6.36E-05,0.000156221,0.000149718,9.54E-05,0.000448017,0.000112167,0.000194748,0.000126635
MT,30,0,0,4.63E-06,1.11E-05,9.25E-07,4.63E-06,3.52E-05,4.07E-05,7.03E-05,0.00018231,0.000284107,0.000258195,0.000251717,0.000116604,7.31E-05,0.000125859,3.79E-05,4.90E-05,3.70E-05,8.88E-05,0.000193415,0.00031187,0.000301691,0.000218402,9.07E-05,5.55E-05
NE,31,0,0,2.06E-06,3.41E-05,5.57E-05,5.21E-05,3.15E-05,3.30E-05,4.70E-05,8.31E-05,0.000202833,0.000331862,0.000172899,9.03E-05,4.54E-05,4.49E-05,7.48E-05,1.29E-05,1.65E-05,2.22E-05,0.0001249,7.43E-05,9.29E-05,9.34E-05,0.000170318,7.38E-05
NV,32,0,0,8.28E-06,6.91E-05,5.80E-05,2.80E-05,0.000103242,0.000151039,9.40E-05,5.70E-05,0.0001179,0.000314506,0.000361665,0.000218593,9.30E-05,6.85E-05,3.89E-05,3.03E-05,7.36E-05,0.000190552,0.000203935,0.00015327,0.000122998,0.000128415,0.000169202,0.000114713
NH,33,0,0,2.20E-06,5.05E-05,0.000126622,9.22E-05,3.22E-05,1.24E-05,5.12E-06,3.22E-05,3.15E-05,0.000171269,0.000218111,8.27E-05,4.98E-05,4.76E-05,3.95E-05,1.39E-05,1.10E-05,2.20E-05,4.68E-05,6.15E-05,0.000119302,0.00017932,0.000181515,5.78E-05
NJ,34,0,0,3.01E-05,0.000783687,0.000503244,0.000375688,8.83E-05,1.54E-05,2.00E-05,2.57E-05,7.24E-05,0.000230682,0.000274927,0.000199046,0.000143655,0.00011551,7.41E-05,2.70E-05,1.69E-05,3.15E-05,6.14E-05,6.14E-05,4.71E-05,7.28E-05,0.000270761,9.21E-05
NM,35,0,0,2.37E-06,5.60E-05,0.00011062,6.69E-05,6.88E-05,6.50E-05,4.65E-05,6.69E-05,0.000261119,0.000432508,0.000382658,0.000204622,0.000112519,6.17E-05,9.50E-05,3.66E-05,3.32E-05,5.13E-05,0.000134358,0.000117741,0.000150974,0.000231684,0.000284382,8.31E-05
NY,36,0,0,9.98E-05,0.001154174,0.000314634,0.000107412,3.08E-05,4.88E-05,1.12E-05,2.04E-05,5.16E-05,0.000176193,0.00029069,0.00020505,0.000136889,0.000100224,5.33E-05,1.74E-05,8.84E-06,3.00E-05,5.62E-05,5.49E-05,5.45E-05,0.000100534,0.00027171,7.33E-05
NC,37,0,0,9.43E-07,3.54E-05,4.96E-05,4.25E-05,5.52E-05,7.41E-05,7.85E-05,7.88E-05,8.45E-05,0.000142913,0.000242434,0.000175458,8.45E-05,5.08E-05,4.01E-05,3.32E-05,1.98E-05,7.88E-05,0.000194042,0.000144045,6.54E-05,6.38E-05,0.000125556,7.78E-05
ND,38,0,0,3.92E-06,2.09E-05,5.88E-05,3.14E-05,3.14E-05,5.23E-05,0.000135893,0.000364559,0.000527891,0.000478238,0.000193386,3.79E-05,3.14E-05,3.40E-05,2.61E-05,2.09E-05,1.44E-05,2.87E-05,6.93E-05,0.000199919,0.000172479,0.000165946,0.000108453,6.93E-05
